Longitud,Color,Patrón,Veneno
3.2,Verde,Rayas,No
1.5,Negro,Lisos,Sí
2.8,Amarillo,Manchas,No
4.1,Marrón,Rayas,Sí
5.5,Gris,Lisos,No
2.0,Rojo,Manchas,Sí
3.9,Azul,Rayas,No
3.0,Verde,Lisos,Sí
4.5,Amarillo,Rayas,No
1.8,Marrón,Manchas,Sí
2.7,Gris,Rayas,No
3.6,Rojo,Lisos,Sí
4.8,Azul,Manchas,No
3.4,Verde,Lisos,No
2.1,Negro,Rayas,Sí
4.2,Amarillo,Manchas,Sí
3.3,Marrón,Lisos,No
5.0,Gris,Rayas,Sí
2.5,Rojo,Manchas,No
3.7,Azul,Lisos,Sí
4.0,Verde,Rayas,No
1.9,Negro,Manchas,Sí
2.3,Amarillo,Lisos,No
3.5,Marrón,Rayas,Sí
4.7,Gris,Manchas,No
2.2,Rojo,Lisos,Sí
3.8,Azul,Rayas,No
3.1,Verde,Manchas,Sí
4.3,Negro,Rayas,No
2.4,Amarillo,Lisos,Sí
3.2,Marrón,Manchas,No
5.2,Gris,Rayas,Sí
2.6,Rojo,Lisos,No
3.4,Azul,Manchas,Sí
4.6,Verde,Rayas,No
1.7,Negro,Lisos,Sí
2.9,Amarillo,Manchas,No
3.0,Marrón,Rayas,Sí
4.9,Gris,Lisos,No
2.3,Rojo,Manchas,Sí
3.5,Azul,Rayas,No
4.0,Verde,Lisos,Sí
1.9,Negro,Rayas,Sí
3.2,Amarillo,Manchas,No
2.7,Marrón,Lisos,Sí
4.1,Gris,Rayas,No
5.0,Rojo,Manchas,Sí
2.5,Azul,Lisos,No
3.6,Verde,Rayas,No
1.8,Negro,Manchas,Sí
2.2,Amarillo,Lisos,No
3.9,Marrón,Rayas,Sí
4.5,Gris,Manchas,No
2.0,Rojo,Lisos,Sí
3.4,Azul,Rayas,No
3.1,Verde,Manchas,Sí
4.2,Negro,Rayas,Sí
2.3,Amarillo,Lisos,No
3.5,Marrón,Manchas,No
5.1,Gris,Rayas,Sí
2.6,Rojo,Lisos,No
3.8,Azul,Manchas,Sí
4.3,Verde,Rayas,No
1.7,Negro,Lisos,Sí
2.9,Amarillo,Manchas,No
3.0,Marrón,Rayas,Sí
4.8,Gris,Lisos,No
2.1,Rojo,Manchas,Sí
3.7,Azul,Rayas,No
4.0,Verde,Lisos,Sí
1.6,Negro,Rayas,Sí
3.3,Amarillo,Manchas,No
2.4,Marrón,Lisos,Sí
4.6,Gris,Rayas,No
5.2,Rojo,Manchas,Sí
2.8,Azul,Lisos,No
3.9,Verde,Rayas,No
1.9,Negro,Manchas,Sí
2.5,Amarillo,Lisos,No
3.5,Marrón,Rayas,Sí
4.7,Gris,Manchas,No
2.2,Rojo,Lisos,Sí
3.8,Azul,Rayas,No
4.1,Verde,Manchas,Sí
1.8,Negro,Rayas,Sí
3.2,Amarillo,Lisos,No
2.7,Marrón,Manchas,Sí
4.0,Gris,Rayas,No
5.0,Rojo,Manchas,Sí
2.3,Azul,Lisos,No
3.3,Verde,Rayas,No
1.7,Negro,Manchas,Sí
2.9,Amarillo,Lisos,No
3.0,Marrón,Rayas,Sí
4.9,Gris,Manchas,No
2.4,Rojo,Lisos,Sí
3.5,Azul,Rayas,No
4.0,Verde,Manchas,Sí
1.6,Negro,Rayas,Sí
3.1,Amarillo,Lisos,No
2.5,Marrón,Manchas,Sí
4.2,Gris,Rayas,No
5.0,Rojo,Lisos,Sí
2.8,Azul,Manchas,No
3.9,Verde,Rayas,No
1.9,Negro,Lisos,Sí
